NUTS_ID,COASTAL CATEGORY,COASTAL LABEL,,,COASTAL REGIONS,
DEG01,0,non-coastal,,,,
DEG02,0,non-coastal,,,,
DEG03,0,non-coastal,,,,
DEG04,0,non-coastal,,,,
DEG05,0,non-coastal,,,,
DEG06,0,non-coastal,,,,
DEG07,0,non-coastal,,,,
DEG09,0,non-coastal,,,,
DEG0A,0,non-coastal,,,,
DEG0B,0,non-coastal,,,,
DEG0C,0,non-coastal,,,,
DEG0D,0,non-coastal,,,,
DEG0E,0,non-coastal,,,,
DEG0F,0,non-coastal,,,,
DEG0G,0,non-coastal,,,,
DEG0H,0,non-coastal,,,,
DEG0I,0,non-coastal,,,,
DEG0J,0,non-coastal,,,,
DEG0K,0,non-coastal,,,,
DEG0L,0,non-coastal,,,,
DEG0M,0,non-coastal,,,,
DEG0N,0,non-coastal,,,,
DEG0P,0,non-coastal,,,,
DK011,1,coastal (on coast),,,,
DK012,1,coastal (on coast),,,,
DK013,1,coastal (on coast),,,,
DK014,1,coastal (on coast),,,,
DK021,1,coastal (on coast),,,,
DK022,1,coastal (on coast),,,,
DK031,1,coastal (on coast),,,,
DK032,1,coastal (on coast),,,,
DK041,1,coastal (on coast),,,,
DK042,1,coastal (on coast),,,,
DK050,1,coastal (on coast),,,,
EE001,1,coastal (on coast),,,,
EE004,1,coastal (on coast),,,,
EE008,0,non-coastal,,,,
EE009,1,coastal (on coast),,,,
EE00A,1,coastal (on coast),,,,
EL301,2,coastal (>= 50% of population living within 50km of the coastline),,,,
EL302,1,coastal (on coast),,,,
EL303,2,coastal (>= 50% of population living within 50km of the coastline),,,,
EL304,1,coastal (on coast),,,,
EL305,1,coastal (on coast),,,,
EL306,1,coastal (on coast),,,,
EL307,1,coastal (on coast),,,,
EL411,1,coastal (on coast),,,,
EL412,1,coastal (on coast),,,,
EL413,1,coastal (on coast),,,,
EL421,1,coastal (on coast),,,,
EL422,1,coastal (on coast),,,,
EL431,1,coastal (on coast),,,,
EL432,1,coastal (on coast),,,,
EL433,1,coastal (on coast),,,,
EL434,1,coastal (on coast),,,,
EL511,1,coastal (on coast),,,,
EL512,1,coastal (on coast),,,,
EL513,1,coastal (on coast),,,,
EL514,2,coastal (>= 50% of population living within 50km of the coastline),,,,
EL515,1,coastal (on coast),,,,
EL521,1,coastal (on coast),,,,
EL522,1,coastal (on coast),,,,
EL523,2,coastal (>= 50% of population living within 50km of the coastline),,,,
EL524,2,coastal (>= 50% of population living within 50km of the coastline),,,,
EL525,1,coastal (on coast),,,,
EL526,1,coastal (on coast),,,,
EL527,1,coastal (on coast),,,,
EL531,0,non-coastal,,,,
EL532,0,non-coastal,,,,
EL533,0,non-coastal,,,,
EL541,1,coastal (on coast),,,,
EL542,1,coastal (on coast),,,,
EL543,0,non-coastal,,,,
EL611,0,non-coastal,,,,
EL612,1,coastal (on coast),,,,
EL613,1,coastal (on coast),,,,
EL621,1,coastal (on coast),,,,
EL622,1,coastal (on coast),,,,
EL623,1,coastal (on coast),,,,
EL624,1,coastal (on coast),,,,
EL631,1,coastal (on coast),,,,
EL632,1,coastal (on coast),,,,
EL633,1,coastal (on coast),,,,
EL641,1,coastal (on coast),,,,
EL642,1,coastal (on coast),,,,
EL643,2,coastal (>= 50% of population living within 50km of the coastline),,,,
EL644,1,coastal (on coast),,,,
EL645,1,coastal (on coast),,,,
EL651,1,coastal (on coast),,,,
EL652,1,coastal (on coast),,,,
EL653,1,coastal (on coast),,,,
ES111,1,coastal (on coast),,,,
ES112,1,coastal (on coast),,,,
ES113,0,non-coastal,,,,
ES114,1,coastal (on coast),,,,
ES120,1,coastal (on coast),,,,
ES130,1,coastal (on coast),,,,
ES211,0,non-coastal,,,,
ES212,1,coastal (on coast),,,,
ES213,1,coastal (on coast),,,,
ES220,0,non-coastal,,,,
ES230,0,non-coastal,,,,
ES241,0,non-coastal,,,,
ES242,0,non-coastal,,,,
ES243,0,non-coastal,,,,
ES300,0,non-coastal,,,,
ES411,0,non-coastal,,,,
ES412,0,non-coastal,,,,
ES413,0,non-coastal,,,,
ES414,0,non-coastal,,,,
ES415,0,non-coastal,,,,
ES416,0,non-coastal,,,,
ES417,0,non-coastal,,,,
ES418,0,non-coastal,,,,
ES419,0,non-coastal,,,,
ES421,0,non-coastal,,,,
ES422,0,non-coastal,,,,
ES423,0,non-coastal,,,,
ES424,0,non-coastal,,,,
ES425,0,non-coastal,,,,
ES431,0,non-coastal,,,,
ES432,0,non-coastal,,,,
ES511,1,coastal (on coast),,,,
ES512,1,coastal (on coast),,,,
ES513,0,non-coastal,,,,
ES514,1,coastal (on coast),,,,
