geo,NUTS_NAME,year,pop,gdp_capita,employment_rate,area_km2,pop_dens
DE30,Berlin,2020,3669491.0,43400.0,76.6,893.0946943041475,4108.73675927397
DE30,Berlin,2055,4369361.607676416,61480.55961175704,76.6,893.0946943041475,4892.383344725604
DE30,Berlin,2085,5074576.933355114,82866.5055867668,76.6,893.0946943041475,5682.014422120107
DE40,Brandenburg,2020,2521893.0,29900.0,80.6,29651.085706729056,85.052298757063
DE40,Brandenburg,2055,3002885.8097397974,42356.42240533492,80.6,29651.085706729056,101.27405921795027
DE40,Brandenburg,2085,3487551.828357047,57090.05799641307,80.6,29651.085706729056,117.61970077087523
DE50,Bremen,2020,681202.0,47900.0,74.6,402.7324248755165,1691.4505957908846
DE50,Bremen,2055,811125.5391748855,67855.27201389775,74.6,402.7324248755165,2014.0557081431978
DE50,Bremen,2085,942041.268436241,91458.65478355138,74.6,402.7324248755165,2339.1244663933467
DE60,Hamburg,2020,1847253.0,66300.0,78.9,743.3690007035451,2484.9744854193655
DE60,Hamburg,2055,2199573.82041953,93920.76272487309,78.9,743.3690007035451,2958.9259416760615
DE60,Hamburg,2085,2554585.2173696663,126590.99816595942,78.9,743.3690007035451,3436.496833943756
DE71,Darmstadt,2020,4019961.0,52400.0,78.4,7443.870933469331,540.0363649408997
DE71,Darmstadt,2055,4786675.660944935,74229.98441603845,78.4,7443.870933469331,643.035821513637
DE71,Darmstadt,2085,5559245.509414564,100050.80398033594,78.4,7443.870933469331,746.8218564106123
DE72,Gießen,2020,1048646.0,35900.0,73.8,5381.633384123084,194.85645437939334
DE72,Gießen,2055,1248650.9906805719,50856.03894152253,73.8,5381.633384123084,232.0208199920022
DE72,Gießen,2085,1450183.3640837672,68546.25692545917,73.8,5381.633384123084,269.46899957215663
DE73,Kassel,2020,1219473.0,36900.0,79.8,8290.55920383228,147.0917666731459
DE73,Kassel,2055,1452059.2931820739,52272.641697553794,79.8,8290.55920383228,175.14612192997367
DE73,Kassel,2085,1686421.7834706125,70455.62341363353,79.8,8290.55920383228,203.41472052826913
DE80,Mecklenburg-Vorpommern,2020,1608138.0,29300.0,78.6,23086.281421102256,69.65773182207096
DE80,Mecklenburg-Vorpommern,2055,1914853.1600283352,41506.46075171616,78.6,23086.281421102256,82.9433344028304
DE80,Mecklenburg-Vorpommern,2085,2223910.618789316,55944.43810350846,78.6,23086.281421102256,96.33039545106331
DE91,Braunschweig,2020,1594929.0,48200.0,76.2,8121.76789659782,196.37707212343634
DE91,Braunschweig,2055,1899124.848533417,68280.25284070712,76.2,8121.76789659782,233.83146042981033
DE91,Braunschweig,2085,2205643.756515315,92031.46473000367,76.2,8121.76789659782,271.57187752672064
DE92,Hannover,2020,2148238.0,39400.0,78.3,9064.241591111107,237.00140584367037
DE92,Hannover,2055,2557964.7535180133,55814.148587631964,78.3,9064.241591111107,282.203946993921
DE92,Hannover,2085,2970820.476779184,75229.0396340694,78.3,9064.241591111107,327.7516874321326
DE93,Lüneburg,2020,1716448.0,29800.0,78.6,15477.151704728816,110.90205954856438
DE93,Lüneburg,2055,2043820.7895244784,42214.76212973179,78.6,15477.151704728816,132.0540645020633
DE93,Lüneburg,2085,2373693.634376953,56899.12134759563,78.6,15477.151704728816,153.36760145936321
DE94,Weser-Ems,2020,2533993.0,37000.0,79.2,14992.587060850608,169.01639388287356
DE94,Weser-Ems,2055,3017293.605113293,52414.30197315692,79.2,14992.587060850608,201.25236510996828
DE94,Weser-Ems,2085,3504285.0430981643,70646.56006245095,79.2,14992.587060850608,233.73451352160083
DEA1,Düsseldorf,2020,5207457.0,42300.0,75.0,5292.1158195005055,984.0028407563279
DEA1,Düsseldorf,2055,6200659.080353597,59922.296580122646,75.0,5292.1158195005055,1171.6786426905608
DEA1,Düsseldorf,2085,7201445.969928424,80766.20244977501,75.0,5292.1158195005055,1360.7876727475193
DEA2,Köln,2020,4478847.0,43100.0,76.5,7366.1719240106195,608.0291155574097
DEA2,Köln,2055,5333083.560759977,61055.578784947655,76.5,7366.1719240106195,723.9966180230426
DEA2,Köln,2085,6193843.689554424,82293.69564031449,76.5,7366.1719240106195,840.849732187909
DEA3,Münster,2020,2624625.0,35300.0,78.1,6918.396446234345,379.36897956007897
DEA3,Münster,2055,3125211.564641448,50006.07728790377,78.1,6918.396446234345,451.72484533500364
DEA3,Münster,2085,3629620.9702400593,67400.63703255456,78.1,6918.396446234345,524.6332728179588
DEA4,Detmold,2020,2055724.0,40200.0,79.5,6524.957961484401,315.0555163932936
DEA4,Detmold,2055,2447805.845982179,56947.43079245698,79.5,6524.957961484401,375.1450753293916
DEA4,Detmold,2085,2842881.9124354054,76756.53282460888,79.5,6524.957961484401,435.69352158533474
DEA5,Arnsberg,2020,3580568.0,35700.0,75.3,8014.714600316381,446.74928285764
DEA5,Arnsberg,2055,4263478.600403906,50572.71839031627,75.3,8014.714600316381,531.9563843528009
