NUTS_ID,NUTS_NAME,scenario,pct_Af,pct_Am,pct_Aw,pct_BWh,pct_BWk,pct_BSh,pct_BSk,pct_Csa,pct_Csb,pct_Csc,pct_Cwa,pct_Cwb,pct_Cwc,pct_Cfa,pct_Cfb,pct_Cfc,pct_Dsa,pct_Dsb,pct_Dsc,pct_Dsd,pct_Dwa,pct_Dwb,pct_Dwc,pct_Dwd,pct_Dfa,pct_Dfb,pct_Dfc,pct_Dfd,pct_ET,pct_EF
AL03,Jug,ssp585_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9018077445994259,0.057455058160028195,0.0,0.0,0.0,0.0,0.0,0.0008056800443124024,0.0,0.0,0.0332343018278866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066972153683468455,0.0,0.0,0.0,0.0
AL03,Jug,ssp119_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727579435016869,0.12125484666901656,0.0,0.0,0.0,0.0,0.009416385517901204,0.045470567500881215,0.0,0.0,0.019588096077345286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07633818419860013,0.00035248501938667606,0.0,0.0,0.0
AL03,Jug,ssp126_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958104637695755,0.12568608691273478,0.0,0.0,0.0,0.0,0.001258875069238129,0.010322775567752657,0.0,0.0,0.034039981872199004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326300417946523,0.00025177501384762577,0.0,0.0,0.0
AL03,Jug,ssp245_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8849891736744046,0.06641824865300368,0.0,0.0,0.0,0.0,0.00035248501938667606,0.002920590160632459,0.0,0.0,0.03197542675864847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013344075733924165,0.0,0.0,0.0,0.0
AL03,Jug,ssp370_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9582053477012942,0.01712070094163855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024673951357067323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,Jug,ssp434_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8480286016415731,0.10126391056951509,0.0,0.0,0.0,0.0,0.0,0.00025177501384762577,0.0,0.0,0.05010322775567753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035248501938667606,0.0,0.0,0.0,0.0
AL03,Jug,ssp460_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9329774913137621,0.035349211944206656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03167329674203132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,Jug,ssp585_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981016163955889,0.007603605418198298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025177501384762577,0.011128455612065059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT11,Burgenland,ssp119_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7482384028185555,0.1766001174398121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07516147974163241,0.0,0.0,0.0,0.0
AT11,Burgenland,ssp126_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8853493834409865,0.09879624192601291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015854374633000587,0.0,0.0,0.0,0.0
