freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,CST_A,I551-I553,NR,AT33	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT34	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE	3928421 	3921413 	: @C	6685148 	6648151 	6373894 	6272869 	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,CST_A,I551-I553,NR,BE1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE10	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE2	3928421 	3921413 	: @C	6685148 	6648151 	6373894 	6272869 	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,CST_A,I551-I553,NR,BE21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE22	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE23	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE24	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE25	3928421 	3921413 	: @C	6685148 	6648151 	6373894 	6272869 	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,CST_A,I551-I553,NR,BE3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE31	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE33	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE34	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BE35	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BG	2534679 	2685763 	2694680 	2944533 	3370611 	3287174 	3309051 	3636135 	3257047 	4154902 	4266685 	4400179 	4522774 
A,DOM,CST_A,I551-I553,NR,BG3	2534679 	2685763 	2694680 	2944533 	3370611 	3287174 	3309051 	3636135 	3257047 	4154902 	4266685 	4400179 	4522774 
A,DOM,CST_A,I551-I553,NR,BG31	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BG32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BG33	1215865 	1243648 	1170004 	1249602 	1392081 	1391028 	1413996 	1484399 	1152282 	1371432 	1393856 	1399682 	1499172 
A,DOM,CST_A,I551-I553,NR,BG34	1318814 	1442115 	1524676 	1694931 	1978530 	1896146 	1895055 	2151736 	2104765 	2783470 	2872829 	3000497 	3023602 
A,DOM,CST_A,I551-I553,NR,BG4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,BG41	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
