actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
11357291.0,4272896.5,4252601.67730939,7084394.5,7104689.32269061
11357291.0,4279548.0,4290864.969219771,7077743.0,7066426.030780229
0.0,4902925.5,4810970.828736591,-4902925.5,-4810970.828736591
550731.0,4499079.5,4467519.538084412,-3948348.5,-3916788.538084412
1087048.0,4720377.0,4695857.013650478,-3633329.0,-3608809.013650478
6674711.0,4499079.5,4497583.376098823,2175631.5,2177127.623901177
8312490.0,4417781.0,4364815.354505177,3894709.0,3947674.6454948233
8312490.0,4190919.25,4166709.296185408,4121570.75,4145780.703814592
0.0,3650126.75,3790496.537556226,-3650126.75,-3790496.537556226
782431.0,4129582.5,4174123.1495027803,-3347151.5,-3391692.1495027803
1642216.0,3166172.0,3348371.8397646784,-1523956.0,-1706155.8397646784
4019693.0,3166172.0,3344020.2581610545,853521.0,675672.7418389455
6444340.0,2924715.75,3127685.19338589,3519624.25,3316654.80661411
6444340.0,3166172.0,3421262.893127713,3278168.0,3023077.106872287
0.0,3650126.75,3770848.496102338,-3650126.75,-3770848.496102338
765419.0,3924001.5,4005590.0040230993,-3158582.5,-3240171.0040230993
1586552.0,3650126.75,3796851.630585152,-2063574.75,-2210299.630585152
3944443.0,3166172.0,3385271.762257243,778271.0,559171.237742757
6296414.0,3170630.25,3352934.615089579,3125783.75,2943479.384910421
6296414.0,3924001.5,3974404.150129485,2372412.5,2322009.849870515
0.0,3620662.5,3762147.705416981,-3620662.5,-3762147.705416981
765235.0,3620662.5,3779472.43876592,-2855427.5,-3014237.43876592
1587925.0,3231048.25,3420942.057214578,-1643123.25,-1833017.0572145781
3875763.0,3288530.25,3423519.687415774,587232.75,452243.312584226
6229045.0,2784328.0,3038052.4877900886,3444717.0,3190992.5122099114
6229045.0,3231048.25,3373163.280201859,2997996.75,2855881.719798141
0.0,2784328.0,3050703.2363075386,-2784328.0,-3050703.2363075386
765125.0,3567537.75,3676116.49525775,-2802412.75,-2910991.49525775
1678860.0,2784328.0,2989995.116305929,-1105468.0,-1311135.1163059291
3973612.0,2784328.0,3162534.047551226,1189284.0,811077.9524487741
6417597.0,3170630.25,3407167.125945083,3246966.75,3010429.874054917
6417597.0,2784328.0,2989995.116305929,3633269.0,3427601.883694071
0.0,3651399.0,3758104.7389316675,-3651399.0,-3758104.7389316675
769998.0,2648083.75,3072277.7270570043,-1878085.75,-2302279.7270570043
1760061.0,3343085.0,3541935.2790402663,-1583024.0,-1781874.2790402663
4089925.0,3343085.0,3630506.4087679014,746840.0,459418.59123209864
6619984.0,3331651.0,3532135.053201389,3288333.0,3087848.946798611
6619984.0,2648083.75,2972849.4497519378,3971900.25,3647134.5502480622
0.0,3440988.5,3640427.8717145883,-3440988.5,-3640427.8717145883
775274.0,3651399.0,3901805.751555564,-2876125.0,-3126531.751555564
